timestamp,deviceId,suhu,kelembaban,jumlahOrang,daya,tegangan,arus,status
2025-12-04T13:00:05.332Z,ESP32_ENERGY_MONITOR_001,17.63,66.74,4,2.37,219.57,0.01,ok
2025-12-04T13:05:05.332Z,ESP32_ENERGY_MONITOR_001,17.11,68.65,2,2.28,220.04,0.01,ok
2025-12-04T13:10:05.332Z,ESP32_ENERGY_MONITOR_001,16.62,66.06,8,2.28,223.79,0.01,ok
2025-12-04T13:15:05.332Z,ESP32_ENERGY_MONITOR_001,16.14,66.62,9,2.20,219.72,0.01,ok
2025-12-04T13:20:05.332Z,ESP32_ENERGY_MONITOR_001,17.54,68.77,7,2.32,215.64,0.01,ok
2025-12-04T13:25:05.332Z,ESP32_ENERGY_MONITOR_001,17.58,68.36,8,2.56,217.05,0.01,ok
2025-12-04T13:30:05.332Z,ESP32_ENERGY_MONITOR_001,16.54,69.37,6,2.20,222.01,0.01,ok
2025-12-04T13:35:05.332Z,ESP32_ENERGY_MONITOR_001,16.74,65.18,3,2.15,221.76,0.01,ok
2025-12-04T13:40:05.332Z,ESP32_ENERGY_MONITOR_001,16.25,69.57,6,2.26,218.88,0.01,ok
2025-12-04T13:45:05.332Z,ESP32_ENERGY_MONITOR_001,16.58,67.33,2,1.91,224.81,0.01,ok
2025-12-04T13:50:05.332Z,ESP32_ENERGY_MONITOR_001,16.95,66.85,2,1.83,222.81,0.01,ok
2025-12-04T13:55:05.332Z,ESP32_ENERGY_MONITOR_001,16.26,65.92,4,2.37,217.66,0.01,ok
2025-12-04T14:00:05.332Z,ESP32_ENERGY_MONITOR_001,15.64,68.59,4,2.01,218.02,0.01,ok
2025-12-04T14:05:05.332Z,ESP32_ENERGY_MONITOR_001,16.48,69.92,0,1.88,216.46,0.01,ok
2025-12-04T14:10:05.332Z,ESP32_ENERGY_MONITOR_001,15.74,69.51,9,2.23,219.65,0.01,ok
2025-12-04T14:15:05.332Z,ESP32_ENERGY_MONITOR_001,15.31,69.48,3,2.24,220.38,0.01,ok
2025-12-04T14:20:05.332Z,ESP32_ENERGY_MONITOR_001,16.41,72.05,4,2.32,218.04,0.01,ok
2025-12-04T14:25:05.332Z,ESP32_ENERGY_MONITOR_001,15.83,69.81,6,2.34,223.64,0.01,ok
2025-12-04T14:30:05.332Z,ESP32_ENERGY_MONITOR_001,14.79,68.54,5,2.35,215.16,0.01,ok
2025-12-04T14:35:05.332Z,ESP32_ENERGY_MONITOR_001,16.49,68.64,2,1.84,218.75,0.01,ok
2025-12-04T14:40:05.332Z,ESP32_ENERGY_MONITOR_001,15.03,68.66,5,2.11,220.47,0.01,ok
2025-12-04T14:45:05.332Z,ESP32_ENERGY_MONITOR_001,15.53,69.67,8,2.55,219.12,0.01,ok
2025-12-04T14:50:05.332Z,ESP32_ENERGY_MONITOR_001,16.29,69.06,3,2.09,220.34,0.01,ok
2025-12-04T14:55:05.332Z,ESP32_ENERGY_MONITOR_001,16.10,68.65,3,2.03,216.10,0.01,ok
